AIRPORT_SEQ_ID,AIRPORT_ID,AIRPORT,DISPLAY_AIRPORT_NAME,DISPLAY_AIRPORT_CITY_NAME_FULL,AIRPORT_WAC,AIRPORT_COUNTRY_NAME,AIRPORT_COUNTRY_CODE_ISO,AIRPORT_STATE_NAME,AIRPORT_STATE_CODE,AIRPORT_STATE_FIPS,CITY_MARKET_ID,DISPLAY_CITY_MARKET_NAME_FULL,CITY_MARKET_WAC,LAT_DEGREES,LAT_HEMISPHERE,LATITUDE,LONGITUDE,AIRPORT_IS_LATEST
1313303,13133,LXR,Luxor International,"Luxor, Egypt",591,Egypt,EG,,,,33133,"Luxor, Egypt",591,25,N,25.67111111,32.70638889,1
1313401,13134,LXS,Lemnos Airport,"Lemnos, Greece",433,Greece,GR,,,,33134,"Lemnos, Greece",433,39,N,39.91666667,25.25000000,1
1313501,13135,LXV,Lake County,"Leadville, CO",82,United States,US,Colorado,CO,08,33135,"Leadville, CO",82,39,N,39.22027778,-106.31611111,0
1313502,13135,LXV,Lake County,"Leadville, CO",82,United States,US,Colorado,CO,08,33135,"Leadville, CO",82,39,N,39.21944444,-106.31638889,1
1313601,13136,LYB,Edward Bodden,"Little Cayman, Cayman Islands",233,Cayman Islands,KY,,,,33136,"Little Cayman, Cayman Islands",233,19,N,19.65916667,-80.09083333,0
1313602,13136,LYB,Edward Bodden,"Little Cayman, Cayman Islands",233,Cayman Islands,KY,,,,33136,"Little Cayman, Cayman Islands",233,19,N,19.66055556,-80.09000000,0
1313603,13136,LYB,Edward Bodden,"Little Cayman, Cayman Islands",233,Cayman Islands,KY,,,,33136,"Little Cayman, Cayman Islands",233,19,N,19.66027778,-80.08944444,0
1313604,13136,LYB,Edward Bodden,"Little Cayman, Cayman Islands",233,Cayman Islands,KY,,,,33136,"Little Cayman, Cayman Islands",233,19,N,19.66055556,-80.09000000,0
1313605,13136,LYB,Edward Bodden,"Little Cayman, Cayman Islands",233,Cayman Islands,KY,,,,33136,"Little Cayman, Cayman Islands",233,19,N,19.66027778,-80.08944444,0
1313606,13136,LYB,Edward Bodden,"Little Cayman, Cayman Islands",233,Cayman Islands,KY,,,,33136,"Little Cayman, Cayman Islands",233,19,N,19.66027778,-80.08916667,1
1313701,13137,LYC,Lycksele Airport,"Lycksele, Sweden",484,Sweden,SE,,,,33137,"Lycksele, Sweden",484,64,N,64.54916667,18.71694444,0
1313702,13137,LYC,Lycksele Airport,"Lycksele, Sweden",484,Sweden,SE,,,,33137,"Lycksele, Sweden",484,64,N,64.54833333,18.71611111,0
1313703,13137,LYC,Lycksele Airport,"Lycksele, Sweden",484,Sweden,SE,,,,33137,"Lycksele, Sweden",484,64,N,64.54916667,18.71444444,0
1313704,13137,LYC,Lycksele Airport,"Lycksele, Sweden",484,Sweden,SE,,,,33137,"Lycksele, Sweden",484,64,N,64.54833333,18.71611111,0
1313705,13137,LYC,Lycksele Airport,"Lycksele, Sweden",484,Sweden,SE,,,,33137,"Lycksele, Sweden",484,64,N,64.54916667,18.71444444,1
1313801,13138,LYE,RAF Lyneham,"Lyneham, United Kingdom",493,United Kingdom,GB,,,,33138,"Lyneham, United Kingdom",493,51,N,51.50805556,-1.98833333,0
1313802,13138,LYE,RAF Lyneham,"Lyneham, United Kingdom",493,United Kingdom,GB,,,,33138,"Lyneham, United Kingdom",493,51,N,51.50527778,-1.99333333,0
1313803,13138,LYE,RAF Lyneham,"Lyneham, United Kingdom",493,United Kingdom,GB,,,,33138,"Lyneham, United Kingdom",493,51,N,51.50972222,-1.98972222,1
1313901,13139,LYH,Lynchburg Regional/Preston Glenn Field,"Lynchburg, VA",38,United States,US,Virginia,VA,51,33139,"Lynchburg, VA",38,37,N,37.32694444,-79.20111111,0
1313902,13139,LYH,Lynchburg Regional/Preston Glenn Field,"Lynchburg, VA",38,United States,US,Virginia,VA,51,33139,"Lynchburg, VA",38,37,N,37.32666667,-79.20111111,0
1313903,13139,LYH,Lynchburg Regional/Preston Glenn Field,"Lynchburg, VA",38,United States,US,Virginia,VA,51,33139,"Lynchburg, VA",38,37,N,37.32527778,-79.20111111,1
1314001,13140,LYN,Bron,"Lyon, France",427,France,FR,,,,33140,"Lyon, France",427,45,N,45.72944444,4.93888889,0
1314002,13140,LYN,Lyon Bron,"Lyon, France",427,France,FR,,,,33140,"Lyon, France",427,45,N,45.72944444,4.93888889,0
1314003,13140,LYN,Lyon Bron,"Lyon, France",427,France,FR,,,,33140,"Lyon, France",427,45,N,45.72722222,4.94416667,0
1314004,13140,LYN,Bron,"Lyon, France",427,France,FR,,,,33140,"Lyon, France",427,45,N,45.72944444,4.93888889,0
1314005,13140,LYN,Lyon Bron,"Lyon, France",427,France,FR,,,,33140,"Lyon, France",427,45,N,45.72722222,4.94416667,1
1314101,13141,LYP,Lyallpur Airport,"Lyallpur, Pakistan",764,Pakistan,PK,,,,33141,"Lyallpur, Pakistan",764,31,N,31.36916667,72.99805556,0
1314102,13141,LYP,Faisalabad International,"Faisalabad, Pakistan",764,Pakistan,PK,,,,33141,"Faisalabad, Pakistan",764,31,N,31.36916667,72.99805556,0
1314103,13141,LYP,Faisalabad International,"Faisalabad, Pakistan",764,Pakistan,PK,,,,33141,"Faisalabad, Pakistan",764,31,N,31.36527778,72.99555556,1
1314201,13142,LYR,Svalbard,"Longyearbyen, Norway",465,Norway,NO,,,,33142,"Longyearbyen, Norway",465,78,N,78.24527778,15.46944444,1
1314301,13143,LYS,Satolas,"Lyon, France",427,France,FR,,,,33140,"Lyon, France",427,45,N,45.72555556,5.08166667,0
1314302,13143,LYS,Saint Exupery,"Lyon, France",427,France,FR,,,,33140,"Lyon, France",427,45,N,45.72638889,5.09083333,0
1314303,13143,LYS,Saint Exupery,"Lyon, France",427,France,FR,,,,33140,"Lyon, France",427,45,N,45.72555556,5.08111111,0
1314304,13143,LYS,Lyon Saint Exupery,"Lyon, France",427,France,FR,,,,33140,"Lyon, France",427,45,N,45.72555556,5.08111111,0
1314305,13143,LYS,Saint Exupery,"Lyon, France",427,France,FR,,,,33140,"Lyon, France",427,45,N,45.72555556,5.08111111,0
1314306,13143,LYS,Lyon Saint Exupery,"Lyon, France",427,France,FR,,,,33140,"Lyon, France",427,45,N,45.72555556,5.08111111,0
1314307,13143,LYS,Lyon Saint Exupery,"Lyon, France",427,France,FR,,,,33140,"Lyon, France",427,45,N,45.72583333,5.09083333,1
1314401,13144,LYU,Ely Municipal,"Ely, MN",63,United States,US,Minnesota,MN,27,33144,"Ely, MN",63,47,N,47.82444444,-91.83083333,0
1314402,13144,LYU,Ely Municipal,"Ely, MN",63,United States,US,Minnesota,MN,27,33144,"Ely, MN",63,47,N,47.82388889,-91.82944444,0
1314403,13144,LYU,Ely Municipal,"Ely, MN",63,United States,US,Minnesota,MN,27,33144,"Ely, MN",63,47,N,47.82444444,-91.83083333,0
1314404,13144,LYU,Ely Municipal,"Ely, MN",63,United States,US,Minnesota,MN,27,33144,"Ely, MN",63,47,N,47.82388889,-91.82944444,1
1314501,13145,LYX,London Ashford,"Lydd, United Kingdom",493,United Kingdom,GB,,,,33145,"Lydd, United Kingdom",493,50,N,50.95416667,0.94027778,1
1314601,13146,LZC,Lazaro Cardenas Airport,"Lazaro Cardenas, Mexico",148,Mexico,MX,,,,33146,"Lazaro Cardenas, Mexico",148,17,N,17.98888889,-102.21944444,0
